symbol_scope,target,horizon,market_period,threshold,transaction_cost_bps,method,regime_method,score_IC,signal_IC,accuracy,balanced_accuracy,Sharpe,drawdown,turnover,total_return,n_trades,n_test_rows
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.05,5,regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0.009447332822613702,0.01613860822343081,0.5623070987654321,0.3743467236437301,0.3743570049875486,-0.548653488223587,0.08445216049382716,0.781652490155897,3970,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.05,5,regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0.0006133046539911802,0.0008292983161159647,0.5654357459379616,0.36415945286799617,-0.07155199106032044,-0.3787108414170282,0.07651403249630724,-0.10046038653498102,947,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.05,5,regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,-0.0012793371899677672,0.004358914007831473,0.5515000802181935,0.38168348337668595,-0.0453869199243609,-0.5517720371922891,0.09999197818065138,-0.18699049970528514,2224,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.05,5,regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0.02862710686022685,0.05064704915306511,0.5792938360263316,0.36946039434930134,1.1483648429299027,-0.31869789683931427,0.06350987432675045,2.2647081556394886,799,6684
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.05,5,regime_lgbm_kmeans,kmeans,0.007158703018405403,-0.004587358321872684,0.5671682098765433,0.3704297325621096,-0.4621765714041374,-0.8058435616640477,0.08082561728395062,-0.6578645537856695,3844,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.05,5,regime_lgbm_kmeans,kmeans,0.011239664778746968,0.014616375719514269,0.5689807976366322,0.3612785385218296,0.5167778898467525,-0.2832416704762947,0.07326440177252586,0.35565781470349256,924,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.05,5,regime_lgbm_kmeans,kmeans,0.0003715525699182097,-0.008700640482831269,0.5582384084710412,0.3793713096144222,-0.6451522666556209,-0.7629900660483561,0.09433659553986844,-0.6467801841929441,2136,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.05,5,regime_lgbm_kmeans,kmeans,0.010509057538835357,-0.01310392862964137,0.5819868342309994,0.3615879591717404,-0.767833061580384,-0.7266162808203426,0.06328545780969479,-0.657415170463175,784,6684
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.05,5,regime_lgbm_vol_bucket,vol_bucket,-0.0019842160448648883,-0.005472521614794038,0.5569830246913581,0.3678924359920577,-0.5386048140004656,-0.7826658991507918,0.08290895061728396,-0.6925893461695807,3916,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.05,5,regime_lgbm_vol_bucket,vol_bucket,-0.0031543835465624977,-0.004310821171994927,0.559231905465288,0.35953856151960856,-0.15420682960266674,-0.4924950104375329,0.07806499261447562,-0.1654796546668108,975,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.05,5,regime_lgbm_vol_bucket,vol_bucket,-0.010030950497632024,-0.013334902330633386,0.5425156425477298,0.3742150929819544,-0.6457354633667725,-0.7881245878255693,0.10143590566340446,-0.6454193724098614,2279,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.05,5,regime_lgbm_vol_bucket,vol_bucket,0.009623572182529837,0.007420351409525039,0.5816876122082585,0.36229413985769865,-0.17785328997753325,-0.641558989469211,0.05326152004787552,-0.2862977419530728,662,6684
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.05,10,global_lgbm,none,0.002370356245843793,-0.0008019971596070752,0.5735725308641976,0.36246067190680487,-0.5056219225895534,-0.6883972816511276,0.05030864197530864,-0.5573395028767283,2482,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.05,10,global_lgbm,none,0.0020630341837073094,0.011042030262347043,0.5806499261447563,0.35775316431901255,0.1841783980016242,-0.26973996982353426,0.04239290989660266,0.06721403771256829,551,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.05,10,global_lgbm,none,-0.002675696715294732,-0.013912863441886332,0.5599229905342532,0.36705423324295533,-0.8763175210961003,-0.703326354097946,0.06569870046526552,-0.662138673212151,1542,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.05,10,global_lgbm,none,0.0036620938311583214,0.013602518082675565,0.5918611609814483,0.3569792212645064,-0.4324205570451658,-0.5419329261782926,0.0296229802513465,-0.3287734344966714,389,6684
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.05,10,regime_lgbm_contrastive,contrastive,-0.011001971921415634,-0.0031082306189942894,0.5622685185185186,0.37075396463147103,-0.8335982148791301,-0.9259807359213932,0.07372685185185185,-0.8229074340958327,3520,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.05,10,regime_lgbm_contrastive,contrastive,0.0009352034789543056,0.016273921336066668,0.5655834564254062,0.36471105317813274,-0.46953727688108293,-0.4810376242723842,0.07599704579025111,-0.3667245158484489,946,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.05,10,regime_lgbm_contrastive,contrastive,-0.015033916102144477,-0.01486076222311744,0.5479704797047971,0.3765850020919934,-1.3822117548631063,-0.910291110028506,0.08699663083587357,-0.8611272467726331,1984,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.05,10,regime_lgbm_contrastive,contrastive,-0.016365295966038185,0.0008435388558221152,0.5855774985038898,0.3636336811043574,-0.5747947490353733,-0.7642406894263473,0.0466786355475763,-0.5184990962984408,590,6684
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.05,10,regime_lgbm_contrastive_hmm,contrastive_hmm,-0.0026100348883464418,6.633905181454335e-05,0.5623070987654321,0.3729774827975252,-0.5476144504540102,-0.7780515380365156,0.07650462962962963,-0.6848021686090859,3642,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.05,10,regime_lgbm_contrastive_hmm,contrastive_hmm,-0.009975296184873835,-0.008999688653989474,0.5617429837518464,0.3586968244653721,-0.916289575764193,-0.5998608834452991,0.07341211225997046,-0.5177964881621413,928,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.05,10,regime_lgbm_contrastive_hmm,contrastive_hmm,-0.0036937383874110262,0.002274970941404802,0.5500561527354404,0.38397566566768293,-0.6385466184770596,-0.6755231966786159,0.09144874057436227,-0.6294626526212144,2063,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.05,10,regime_lgbm_contrastive_hmm,contrastive_hmm,0.002951166954844619,0.004754798969098444,0.5857271095152603,0.36371794129984103,-0.237328564394785,-0.5940115022041128,0.051765409934171155,-0.3157795945484092,651,6684
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.05,10,regime_lgbm_hmm,hmm,0.0051131260203158314,0.0049423582822436295,0.5623070987654321,0.3697774983564239,-0.3404628502108156,-0.709592437948334,0.07889660493827161,-0.536381034564162,3737,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.05,10,regime_lgbm_hmm,hmm,-1.7688133775334205e-05,-0.004117162596263626,0.5657311669128509,0.35954117886295417,-0.6513333465099137,-0.5204349598741029,0.0725258493353028,-0.40760421490156085,914,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.05,10,regime_lgbm_hmm,hmm,-0.012999403838607633,-0.005272455555985322,0.5494946253810364,0.37738171656244446,-0.8876260321589508,-0.7937383804574349,0.09574041392587838,-0.7411491916672414,2143,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.05,10,regime_lgbm_hmm,hmm,0.03135967510048076,0.032010549582739044,0.5827348892878516,0.36357520289529227,0.5585893252195904,-0.4691873484351118,0.05393476959904249,0.5839312067698406,680,6684
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.05,10,regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,-0.009163474213762119,-0.005094139262936813,0.5600308641975309,0.36691651218141935,-0.9763733673068319,-0.9002993859947196,0.0787229938271605,-0.8541252618056158,3725,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.05,10,regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,-0.02691815864326079,-0.004334799713670235,0.5683899556868538,0.36197792020347824,-0.485501809633148,-0.5797911296708255,0.0690546528803545,-0.3357994710614496,856,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.05,10,regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,-0.016450840470796438,-0.016278246832359004,0.5466869886090165,0.3730429353576012,-1.205061070825535,-0.8573519858158841,0.09549975934541954,-0.8348658500804803,2137,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.05,10,regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,0.01142245874703386,0.01307931151386064,0.5764512268102933,0.35843265604394864,-0.522333992576679,-0.6926812538374624,0.0572262118491921,-0.5247790226542047,732,6684
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.05,10,regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0.009447332822613702,0.01613860822343081,0.5623070987654321,0.3743467236437301,0.0989498157553055,-0.6141311494707763,0.08445216049382716,0.030554984561026677,3970,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.05,10,regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0.0006133046539911802,0.0008292983161159647,0.5654357459379616,0.36415945286799617,-0.3140962808977146,-0.4551963991685768,0.07651403249630724,-0.23735748725788086,947,6770
BTCUSDT+ETHUSDT,tb_label_8h,8h,sideways,0.05,10,regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,-0.0012793371899677672,0.004358914007831473,0.5515000802181935,0.38168348337668595,-0.33060346486233094,-0.6088134696395585,0.09999197818065138,-0.4656370089191597,2224,12466
BTCUSDT+ETHUSDT,tb_label_8h,8h,bear,0.05,10,regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0.02862710686022685,0.05064704915306511,0.5792938360263316,0.36946039434930134,1.0183734992377336,-0.32113620211252775,0.06350987432675045,1.8030210309231114,799,6684
BTCUSDT+ETHUSDT,tb_label_8h,8h,all,0.05,10,regime_lgbm_kmeans,kmeans,0.007158703018405403,-0.004587358321872684,0.5671682098765433,0.3704297325621096,-0.7282207507218762,-0.8596904484258456,0.08082561728395062,-0.7974092028872668,3844,25920
BTCUSDT+ETHUSDT,tb_label_8h,8h,bull,0.05,10,regime_lgbm_kmeans,kmeans,0.011239664778746968,0.014616375719514269,0.5689807976366322,0.3612785385218296,0.2904503925460531,-0.3068834059501785,0.07326440177252586,0.1550824197537768,924,6770
