fold,method,candidate_id,candidate_params,inner_validation_nll,inner_validation_mean_asset_ic,inner_validation_turnover,turnover_increase_vs_baseline,coverage_ok
5,regime_lgbm_vol_bucket,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.963237487938876,-0.0033766520342821287,0.07055555555555555,-0.2529411764705883,True
6,global_lgbm,p41_prior_blend,prior_blend_weight=0.2,0.9607905395391734,-0.0563341873145081,0.015555555555555555,-0.7333333333333333,True
6,regime_lgbm_kmeans,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9646592434837749,-0.05445511802348252,0.06527777777777778,-0.23202614379084968,True
6,regime_lgbm_hmm,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9635016030956002,-0.04631219975486425,0.07583333333333334,-0.2155172413793103,True
6,regime_lgbm_vol_bucket,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9643175456933587,-0.0570212647155129,0.08083333333333333,-0.24415584415584418,True
7,global_lgbm,baseline,none,0.9627618462646097,0.025815408551048042,0.03305555555555555,0.0,True
7,regime_lgbm_kmeans,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9635253782743406,0.020996200749988158,0.04111111111111111,-0.2043010752688172,True
7,regime_lgbm_hmm,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9628189655816698,0.01873014999492271,0.035555555555555556,-0.24705882352941175,True
7,regime_lgbm_vol_bucket,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9634223571885703,0.025110984345084297,0.03944444444444444,-0.35454545454545455,True
8,global_lgbm,baseline,none,0.9361562419501527,-0.05273112214378325,0.03166666666666667,0.0,True
8,regime_lgbm_kmeans,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9386287802281814,-0.06689595798294452,0.03166666666666667,-0.2027972027972027,True
8,regime_lgbm_hmm,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9378151398855269,-0.05493809216257177,0.034166666666666665,-0.25903614457831325,True
8,regime_lgbm_vol_bucket,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9375051102816229,-0.05663406047623415,0.036944444444444446,-0.38990825688073394,True
9,global_lgbm,p41_prob_temperature,temperature=0.75,0.9222590188800204,0.06955742160137876,0.07611111111111112,0.0,True
9,regime_lgbm_kmeans,p41_prob_temperature,temperature=0.75,0.9324074097714022,0.05658497335642576,0.09166666666666666,0.0,True
9,regime_lgbm_hmm,p41_prob_temperature,temperature=0.75,0.9287811736189397,0.059866282487803214,0.09361111111111112,0.0,True
9,regime_lgbm_vol_bucket,p41_prob_temperature,temperature=0.75,0.9278704468181044,0.0779528530916403,0.12916666666666668,0.0,True
10,global_lgbm,p41_prob_temperature,temperature=1.25,0.9738292940908742,-0.004931310736472687,0.024444444444444446,0.0,True
10,regime_lgbm_kmeans,p41_prob_temperature,temperature=1.25,0.9745174419279508,0.000780029490430863,0.036944444444444446,0.0,True
10,regime_lgbm_hmm,p41_prob_temperature,temperature=1.25,0.9759388072035409,-0.01660738460337697,0.03833333333333333,0.0,True
10,regime_lgbm_vol_bucket,p41_prior_blend,prior_blend_weight=0.2,0.9756180055642125,-0.023683788548108195,0.015555555555555555,-0.67816091954023,True
11,global_lgbm,baseline,none,0.9049172373080806,-0.0028364565830512737,0.020277777777777777,0.0,True
11,regime_lgbm_kmeans,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9061416648769569,-0.0007181097276867108,0.02638888888888889,-0.2460317460317461,True
11,regime_lgbm_hmm,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9066890960253171,0.009240529564502034,0.022222222222222223,-0.32773109243697474,True
11,regime_lgbm_vol_bucket,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9060663479974359,0.014056051611876013,0.021111111111111112,-0.3214285714285714,True
12,global_lgbm,baseline,none,0.9199523227512127,-0.05878661211460083,0.07333333333333333,0.0,True
12,regime_lgbm_kmeans,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9206360398069917,-0.05886857729271089,0.07333333333333333,-0.10204081632653059,True
12,regime_lgbm_hmm,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9208439780026426,-0.058820886431392674,0.07694444444444444,-0.18289085545722714,True
12,regime_lgbm_vol_bucket,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9193278573288778,-0.054728358727384394,0.08666666666666667,-0.26066350710900477,True
13,global_lgbm,p41_prob_temperature,temperature=0.75,0.8963933496653023,0.02349027715765941,0.065,0.0,True
13,regime_lgbm_kmeans,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9017826949502387,-0.012378346103183497,0.07444444444444444,-0.19760479041916176,True
13,regime_lgbm_hmm,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9012450046364433,0.01665291122399789,0.07194444444444445,-0.2514450867052022,True
13,regime_lgbm_vol_bucket,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9010690103109626,0.012995007366097261,0.07888888888888888,-0.23243243243243245,True
14,global_lgbm,p41_prob_temperature,temperature=1.25,0.9850395856032449,-0.08147787008205858,0.04,0.0,True
14,regime_lgbm_kmeans,p41_prior_blend,prior_blend_weight=0.2,0.9877605200943261,-0.06903731598864551,0.019166666666666665,-0.6745283018867925,True
14,regime_lgbm_hmm,p41_prior_blend,prior_blend_weight=0.2,0.9897071772340725,-0.08079787884337566,0.01861111111111111,-0.6763285024154589,True
14,regime_lgbm_vol_bucket,p41_prob_temperature,temperature=1.5,0.9881954819948676,-0.09628492718590623,0.06027777777777778,0.0,True
15,global_lgbm,p41_prob_temperature,temperature=0.75,0.9286747349276212,-0.010605669005998398,0.05583333333333333,0.0,True
15,regime_lgbm_kmeans,p41_prob_temperature,temperature=0.75,0.9334915285770169,-0.001549100832727322,0.07861111111111112,0.0,True
15,regime_lgbm_hmm,p41_prob_temperature,temperature=0.75,0.9291726025915801,0.022579904655483693,0.07972222222222222,0.0,True
15,regime_lgbm_vol_bucket,p41_global_regime_shrinkage,global_regime_shrinkage=0.5,0.9358185737256179,0.0009130805825974593,0.07472222222222222,-0.2788203753351207,True
16,global_lgbm,p41_prob_temperature,temperature=0.75,0.9399860942510705,-0.08905220295575036,0.12027777777777778,0.0,True
16,regime_lgbm_kmeans,p41_prob_temperature,temperature=0.75,0.945894772317761,-0.08916502128279508,0.13722222222222222,0.0,True
16,regime_lgbm_hmm,p41_prob_temperature,temperature=0.75,0.9423656291793027,-0.0712377119935806,0.14222222222222222,0.0,True
16,regime_lgbm_vol_bucket,p41_prob_temperature,temperature=0.75,0.9524682268935967,-0.08759021666284418,0.16916666666666666,0.0,True
