method,target,horizon,regime_method,symbol_scope,IC,mean_asset_IC,median_asset_IC,cross_sectional_IC,median_cross_sectional_IC,pooled_IC,signal_IC,n_asset_IC,n_cross_sectional_IC,Sharpe,drawdown,turnover,total_return,n_trades,n_return_observations,rebalance_offset_utc,n_test_rows,nll_loss,fold
global_lgbm,tb_label_8h,8h,none,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.015674768076294525,0.015674768076294525,0.008881084697714203,0.01598908918168252,0.009764527620965233,0.019192582823200594,0.02009579573104312,20,720,6.238641778158741,-0.0009033168304084246,0.011111111111111112,0.006391510893466679,39,90,0,14400,0.9607151885290106,6
regime_lgbm_kmeans,tb_label_8h,8h,kmeans,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.008194098196246427,0.008194098196246427,0.009372088917343226,0.01079647524149262,0.007966404329956439,0.013076660612996656,0.008863540070398957,20,720,0.777134459993908,-0.007046404906824495,0.035,0.0017152245529596932,119,90,0,14400,0.9604477453494513,6
regime_lgbm_hmm,tb_label_8h,8h,hmm,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.0021276452776990587,0.0021276452776990587,0.0049724964819249685,0.009585536857459838,0.006515386694278179,0.008461502216941606,0.0061300989082157895,20,720,0.11150788246992116,-0.009197136676191448,0.03277777777777778,0.00024066192690153088,112,90,0,14400,0.9598718639090409,6
regime_lgbm_vol_bucket,tb_label_8h,8h,vol_bucket,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.003769589980465909,0.003769589980465909,0.005068208035451224,0.011421082774861776,0.0039168014716816114,0.009145710704557984,0.003551288122423688,20,720,-0.42651172405400917,-0.009834735066503396,0.035555555555555556,-0.0013930861709520181,123,90,0,14400,0.9603024416366794,6
global_lgbm,tb_label_8h,8h,none,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,-0.06848900422308181,-0.06848900422308181,-0.08373751683838726,-0.027397162181479758,-0.02752238153987409,-0.06928807109045444,-0.018016254779929217,20,720,-5.731194185765739,-0.019643759331039207,0.04388888888888889,-0.017287663313003354,152,90,0,14400,0.9372343031330785,7
regime_lgbm_kmeans,tb_label_8h,8h,kmeans,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,-0.08089323026198422,-0.08089323026198422,-0.08770444290399335,-0.030296865601350812,-0.034295492046437934,-0.07940885649649758,-0.02517469698468946,20,720,-6.419024313618125,-0.020465596951010287,0.04722222222222222,-0.017694955240472487,166,90,0,14400,0.9386823522095542,7
regime_lgbm_hmm,tb_label_8h,8h,hmm,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,-0.06824589357707495,-0.06824589357707495,-0.0779982066041512,-0.02159964809522386,-0.024867644624839237,-0.06726773031750619,-0.020159189857620337,20,720,-6.83721273816061,-0.02345849557408447,0.044444444444444446,-0.022058420108162946,156,90,0,14400,0.9378717212869331,7
regime_lgbm_vol_bucket,tb_label_8h,8h,vol_bucket,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,-0.07237801486744713,-0.07237801486744713,-0.08113742569124958,-0.03572007710761529,-0.04722583815023393,-0.07178673374763528,-0.026361625629035917,20,720,-4.315022165455202,-0.016822545272847236,0.05333333333333334,-0.013260499096326095,186,90,0,14400,0.9388264310286122,7
global_lgbm,tb_label_8h,8h,none,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.024829685804710098,0.024829685804710098,0.01847884584826115,-0.004861961743922273,-0.013658261309779245,0.029238056911396446,0.04191706896750754,20,720,1.0059500657029026,-0.012174932050052618,0.06138888888888889,0.003186376427894766,214,90,0,14400,0.9495620178793034,8
regime_lgbm_kmeans,tb_label_8h,8h,kmeans,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.01870904761097434,0.01870904761097434,0.010729302724829144,-0.006706813513765085,-0.011852357465101118,0.02405168845325557,0.02925612978770657,20,720,-0.06739078223013559,-0.01570381069592786,0.06861111111111111,-0.0002882576662709413,238,90,0,14400,0.9510377777013758,8
regime_lgbm_hmm,tb_label_8h,8h,hmm,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.028983638245935,0.028983638245935,0.043665619310837595,-0.00398746799606182,0.016075219396029582,0.029470798939693232,0.03940952070369668,20,720,2.67740079457588,-0.01452355183467276,0.0725,0.012970165884701235,253,90,0,14400,0.949759332917339,8
regime_lgbm_vol_bucket,tb_label_8h,8h,vol_bucket,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.03938034199005575,0.03938034199005575,0.03330200428732579,0.005042041434437644,0.025348633251691153,0.04285182157335066,0.04783490637698309,20,720,4.057230320837024,-0.013269718048232924,0.07555555555555556,0.021324176707720577,264,90,0,14400,0.9482279796155043,8
global_lgbm,tb_label_8h,8h,none,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.05925145008938837,0.05925145008938837,0.05451214369005622,0.05340026087892517,0.06263122147511094,0.07287187352106352,0.03073302283220346,20,720,1.0629820923412678,-0.011162790912449205,0.024166666666666666,0.00785846394408285,87,90,0,14400,0.9752193969913233,9
regime_lgbm_kmeans,tb_label_8h,8h,kmeans,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.0442834032319113,0.0442834032319113,0.03440424526086458,0.03628705545496071,0.046799021770664834,0.05132421735749822,0.019175899641353824,20,720,1.3083230293023687,-0.011162790912449205,0.03333333333333333,0.010505085605188702,119,90,0,14400,0.9840268502850529,9
