method,regime_method,regime,feature,feature_family,mean_gain_share,std_gain_share,mean_split_share,mean_shap_share,folds_seen,mean_train_rows,rank_within_model_regime
regime_lgbm_hmm,hmm,1,amihud,liquidity_volume,0.028145284985895982,0.009152364922197198,0.03456670571127908,0.038861877637266284,18,5126.055555555556,11
regime_lgbm_hmm,hmm,1,atr_14,volatility,0.08022659004065197,0.018812984049840626,0.07319249512187326,0.06829541459480286,18,5126.055555555556,3
regime_lgbm_hmm,hmm,1,bband_pct_b,technical_state,0.027100891534811614,0.00500185362558901,0.03073259289175838,0.029600063541051286,18,5126.055555555556,18
regime_lgbm_hmm,hmm,1,close_vs_vwap,momentum,0.0334076214457851,0.013415085672287299,0.03466616656401941,0.03583815622399901,18,5126.055555555556,13
regime_lgbm_hmm,hmm,1,gk_vol,volatility,0.03126176494529345,0.00962619335989734,0.031571346579460625,0.040333546623692804,18,5126.055555555556,10
regime_lgbm_hmm,hmm,1,kurtosis,distribution_shape,0.06883384315030104,0.00789416274888418,0.06356162447353397,0.06639354004095341,18,5126.055555555556,4
regime_lgbm_hmm,hmm,1,log_vol_trend,liquidity_volume,0.02647812110392693,0.006623897735304505,0.03484745636129008,0.029963057573640223,18,5126.055555555556,17
regime_lgbm_hmm,hmm,1,macd_signal,momentum,0.04831318805805512,0.006226362323349173,0.0497453594063097,0.04078781835406804,18,5126.055555555556,8
regime_lgbm_hmm,hmm,1,ofi_proxy,microstructure,0.015231073347021763,0.003763121327563474,0.023560182029003836,0.019134037707893056,18,5126.055555555556,21
regime_lgbm_hmm,hmm,1,ret_15h,momentum,0.03161081600982655,0.007854604580812349,0.03326613359336958,0.029520980418148213,18,5126.055555555556,19
regime_lgbm_hmm,hmm,1,ret_1h,momentum,0.011624991706334166,0.00290815608658712,0.018015965307588346,0.013636933180893413,18,5126.055555555556,22
regime_lgbm_hmm,hmm,1,ret_5h,momentum,0.026121935428698864,0.006855983770694033,0.03271556067963921,0.026546078129811447,18,5126.055555555556,20
regime_lgbm_hmm,hmm,1,ret_60h,momentum,0.06957670861996564,0.010233229174515168,0.06295299863160231,0.06253230734832842,18,5126.055555555556,5
