method,regime_method,target,horizon,symbol,IC,signal_IC,accuracy,balanced_accuracy,Sharpe,drawdown,turnover,total_return,n_trades,n_test_rows
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,NEARUSDT,0.018071242914142582,0.0012188344856272086,0.5565972222222222,0.34328823187696345,-0.23815401912376485,-0.7471407173580573,0.023177083333333334,-0.5307863370370517,534,11520
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,SHIBUSDT,0.0185947983465837,0.017098595708865568,0.5764756944444445,0.35893055621731,0.45830996001656626,-0.5564441869799716,0.037022569444444445,1.2889009026696558,823,11520
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,SOLUSDT,-0.008706226577934306,-0.00783172709140593,0.56171875,0.3460605845360858,-0.4915502534547744,-0.80928312929817,0.03333333333333333,-0.6809315700893686,758,11520
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,TONUSDT,0.015094017039484611,-0.0046778269215360145,0.5641493055555555,0.3555880640516426,-0.5162811022431724,-0.9133891887265219,0.04670138888888889,-0.7164726464313349,1037,11520
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,TRXUSDT,0.00820522525775522,0.0033905776392931302,0.50234375,0.3699653598063397,-0.4866772992744051,-0.819611341607746,0.09696180555555556,-0.614968556399778,2127,11520
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,UNIUSDT,0.020642632890578657,-0.007132149109434023,0.5722222222222222,0.34491656480038163,-0.31732987802669715,-0.8655660612713999,0.030078125,-0.6697064708713331,681,11520
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,tb_label_8h,8h,XRPUSDT,0.03236361658499774,0.02099840482613729,0.5736111111111111,0.3634261888984846,0.48467068661882967,-0.5689074089623908,0.04453125,1.4634571518050268,1004,11520
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,tb_label_8h,8h,ADAUSDT,0.04616137826401819,0.015058814300507968,0.5735243055555556,0.347454205702776,0.6362553027382011,-0.5782790484941414,0.028125,2.267656323316162,635,11520
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,tb_label_8h,8h,APTUSDT,0.007109346310314814,0.0021689773427502035,0.5567708333333333,0.34268474941434984,0.013557072152169166,-0.6622714283727539,0.02621527777777778,-0.16499840472486405,594,11520
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,tb_label_8h,8h,AVAXUSDT,0.0035127228665912773,0.00898946137372499,0.565625,0.35278187904046887,0.23025534418998764,-0.5585358026746976,0.040364583333333336,0.3275299393726847,905,11520
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,tb_label_8h,8h,BCHUSDT,0.02247144687577924,0.009267111060760867,0.5794270833333334,0.3503516101116834,-0.013571532936449068,-0.7485008927234258,0.03315972222222222,-0.18890983285190732,743,11520
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,tb_label_8h,8h,BNBUSDT,0.008095391389041718,0.010648990444900973,0.5572048611111111,0.3675280501396862,-0.09631212132678661,-0.7992928163285338,0.05703125,-0.2363925461807307,1276,11520
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,tb_label_8h,8h,BTCUSDT,0.018687444485180237,0.012945853124660083,0.5734375,0.370545822228014,-0.35161437677195206,-0.6058124295159873,0.06115451388888889,-0.4599050952380572,1321,11520
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,tb_label_8h,8h,DOGEUSDT,0.04434536367240294,0.02052717472916438,0.5662326388888889,0.3507702117782912,0.5765170692281534,-0.645498673905013,0.03350694444444444,2.0718602036960188,750,11520
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,tb_label_8h,8h,DOTUSDT,-0.004908779075818211,0.01677887581927366,0.5769097222222223,0.34958393631497,0.22201891772593146,-0.7274124573256711,0.03203125,0.30023465717489817,726,11520
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,tb_label_8h,8h,ETCUSDT,0.0013522965360642587,0.01081559764399798,0.5619791666666667,0.3510813516040921,0.18834007416292842,-0.6657782683311776,0.045572916666666664,0.19882235375608426,1011,11520
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,tb_label_8h,8h,ETHUSDT,0.09624938542165964,0.043338061773505424,0.5854166666666667,0.3597837540354183,0.7131677704307349,-0.4291715426638818,0.034027777777777775,2.1746755748701316,759,11520
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,tb_label_8h,8h,ICPUSDT,0.044559339465185595,0.0068845539075761625,0.5677083333333334,0.35008363015596505,-0.045067582676193006,-0.8405568598227546,0.028993055555555557,-0.2972268986495965,661,11520
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,tb_label_8h,8h,LINKUSDT,0.0032724728697112815,0.0038967207928058615,0.57265625,0.3518942870647533,0.017370179933282826,-0.8045434320642171,0.041493055555555554,-0.2199190257002187,928,11520
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,tb_label_8h,8h,LTCUSDT,0.0321658965055383,0.01388540508470412,0.5743923611111111,0.34835351683164656,0.14609406622839852,-0.5369105654700608,0.03641493055555556,0.11309917570295114,819,11520
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,tb_label_8h,8h,NEARUSDT,0.019125920715243022,0.01326925097720774,0.5594618055555556,0.3482750365873098,0.19981482570001408,-0.7667477586067698,0.025868055555555554,0.2367430279794165,587,11520
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,tb_label_8h,8h,SHIBUSDT,0.037729433641053,0.02182826888452632,0.5710069444444444,0.3604187817280811,0.33664672050874006,-0.6633438351271335,0.04691840277777778,0.739929886925963,1032,11520
