fold,encoder_method,outer_train_end,inner_train_end,inner_validation_start,inner_validation_end,outer_test_start,outer_test_end,calendar_train_start,calendar_train_end,calendar_test_start,calendar_test_end,seed,run_kind,window_cap,selected_epoch,max_epochs,train_windows,validation_windows,scaler_training_rows,device,runtime_seconds,input_hash,model_hash,created_utc,python_version,torch_version
12,vanilla,12240,11392,11520,12240,12360,13080,2024-07-05T11:30:00+05:30,2025-11-24T23:30:00+05:30,2025-11-30T00:30:00+05:30,2025-12-29T23:30:00+05:30,42,full,5000,21,30,5000,5000,122400,cpu,1504.9115304000006,e77abc25ec1f2bbc3b1f7c6e39763f688dee4e8c6420d2b82ed4b9550c7bc441,4d13ffaafbcad2a0fe226279fc04f6be80b2d0a9508b6a9d51defb7b85c8ba20,2026-06-30T12:28:06.409331+00:00,3.11.3,2.11.0+cpu
12,guided,12240,11392,11520,12240,12360,13080,2024-07-05T11:30:00+05:30,2025-11-24T23:30:00+05:30,2025-11-30T00:30:00+05:30,2025-12-29T23:30:00+05:30,42,full,5000,4,30,5000,5000,122400,cpu,285.3685461999994,e27a71943114d7bee4b4d9c8899f61aef5d232f037a68329049e93a0c7a2f5f7,4c4a1bc5b9e1e2f8a164b0b19190047b45d639d81d191a4b1bb3bedcb7fe26e5,2026-06-30T12:28:06.423200+00:00,3.11.3,2.11.0+cpu
13,vanilla,12960,12112,12240,12960,13080,13800,2024-07-05T11:30:00+05:30,2025-12-24T23:30:00+05:30,2025-12-30T00:30:00+05:30,2026-01-28T23:30:00+05:30,42,full,5000,14,30,5000,5000,129600,cpu,1032.3449433999997,b5f9e4a16acc3575392f71c6a0941d89b15fba49797f49b68c60268e577a2a01,0e484b1c8f8c15e905cfa815b70c74b98403d00387ba0577d442ba7a77c63d22,2026-06-30T12:52:50.619107+00:00,3.11.3,2.11.0+cpu
13,guided,12960,12112,12240,12960,13080,13800,2024-07-05T11:30:00+05:30,2025-12-24T23:30:00+05:30,2025-12-30T00:30:00+05:30,2026-01-28T23:30:00+05:30,42,full,5000,2,30,5000,5000,129600,cpu,176.66689360000237,777e96feadffcf3649a583dc7c87d4ae9119097c3bf054f22caf05d56fd46d81,b24a643f8832251ae76e28ebdf499a53f425c7e9d27895d67cfe5d0c59906b8d,2026-06-30T12:52:50.626892+00:00,3.11.3,2.11.0+cpu
14,vanilla,13680,12832,12960,13680,13800,14520,2024-07-05T11:30:00+05:30,2026-01-23T23:30:00+05:30,2026-01-29T00:30:00+05:30,2026-02-27T23:30:00+05:30,42,full,5000,10,30,5000,5000,136800,cpu,789.3722692999982,74557d7f2ea8a6690ad4041f703fc9f333a08f7b910cc0a69cd1cf9ec6992c17,9f6a391f2173ebce60f05e28f7941a5b6c55613cf902465309cf520f82d72424,2026-06-30T13:15:05.717047+00:00,3.11.3,2.11.0+cpu
14,guided,13680,12832,12960,13680,13800,14520,2024-07-05T11:30:00+05:30,2026-01-23T23:30:00+05:30,2026-01-29T00:30:00+05:30,2026-02-27T23:30:00+05:30,42,full,5000,3,30,5000,5000,136800,cpu,256.2840275000017,d959b221137954a7686124fde224774c74f73609baaba7091f67bb091e498f68,8972e5738603ba3f087581af0aa7ff5d99f289140218809aba3ec6ed0c424a25,2026-06-30T13:15:05.719552+00:00,3.11.3,2.11.0+cpu
15,vanilla,14400,13552,13680,14400,14520,15240,2024-07-05T11:30:00+05:30,2026-02-22T23:30:00+05:30,2026-02-28T00:30:00+05:30,2026-03-29T23:30:00+05:30,42,full,5000,6,30,5000,5000,144000,cpu,572.6419518000002,9aac59307eab01380f8aec28ff4e0e671656bc077c793dcec8c9c4a0a5404e12,9c08e1a8c5ee8156b2e2bf1e2c17be920bc4c812c4f433f526f190374ac35825,2026-06-30T13:33:09.797430+00:00,3.11.3,2.11.0+cpu
15,guided,14400,13552,13680,14400,14520,15240,2024-07-05T11:30:00+05:30,2026-02-22T23:30:00+05:30,2026-02-28T00:30:00+05:30,2026-03-29T23:30:00+05:30,42,full,5000,1,30,5000,5000,144000,cpu,182.1921846000041,d9d09f0ed7340cbff4d4250353d4e4ff6305f72345c0c3e9211a3c8fa3420ad6,4a3c2c4ce4a06ed4319795aa3f29b81d63818fad2ea65b5c0014dd28b4ffa020,2026-06-30T13:33:09.811126+00:00,3.11.3,2.11.0+cpu
16,vanilla,15120,14272,14400,15120,15240,15960,2024-07-05T11:30:00+05:30,2026-03-24T23:30:00+05:30,2026-03-30T00:30:00+05:30,2026-04-28T23:30:00+05:30,42,full,5000,24,30,5000,5000,151200,cpu,1950.7906123999928,6d2f888d86eb11d860e4a0fd6a44d0e05ce04e82242cc99783a1f70d102c3130,1b76bd86004ba916eb97741756fc2a1c4021c4787c28eacd51c33aa447b6df64,2026-06-30T14:15:12.037156+00:00,3.11.3,2.11.0+cpu
16,guided,15120,14272,14400,15120,15240,15960,2024-07-05T11:30:00+05:30,2026-03-24T23:30:00+05:30,2026-03-30T00:30:00+05:30,2026-04-28T23:30:00+05:30,42,full,5000,3,30,5000,5000,151200,cpu,240.4357170000003,d416cbd5a645c878cfb7450173a624da05ed7ee3865efc171e986d3286f8f0c7,8ae478f08afb92dc51cda46fff3099e5594ff9a34ab7bc730fa05a66d6666f6a,2026-06-30T14:15:12.037156+00:00,3.11.3,2.11.0+cpu
17,vanilla,15840,14992,15120,15840,15960,16680,2024-07-05T11:30:00+05:30,2026-04-23T23:30:00+05:30,2026-04-29T00:30:00+05:30,2026-05-28T23:30:00+05:30,42,full,5000,7,30,5000,5000,158400,cpu,592.7209643000024,46a6ff85219cddc668a23ff2525444e00c2c54c2dda890968d23a2b3abb6096b,162c9827ff33eb6a51323df9d833699ffce20a00e96f8dd923df628ba6ac16bc,2026-06-30T14:33:37.395254+00:00,3.11.3,2.11.0+cpu
17,guided,15840,14992,15120,15840,15960,16680,2024-07-05T11:30:00+05:30,2026-04-23T23:30:00+05:30,2026-04-29T00:30:00+05:30,2026-05-28T23:30:00+05:30,42,full,5000,2,30,5000,5000,158400,cpu,219.19839879999927,064f33cca70a58cb0c3be94d6a645b06185edb9cd63941991dbf49a14db77989,5cdf0eac5bedc9cbaec50d88ec9688bba9db3a430647a37dedae8d6ddb1b0dd6,2026-06-30T14:33:37.402745+00:00,3.11.3,2.11.0+cpu
18,vanilla,16560,15712,15840,16560,16680,17400,2024-07-05T11:30:00+05:30,2026-05-23T23:30:00+05:30,2026-05-29T00:30:00+05:30,2026-06-27T23:30:00+05:30,42,full,5000,14,30,5000,5000,165600,cpu,1081.100765299998,24211f759683ca1d9ffa1036c2790ef64a67681b7cab0e6a4410176143064935,616aea51be2a07b2b258310d06ee04c8f573a84d9e6b1e8b4e79c3f40f775ece,2026-06-30T15:00:48.308677+00:00,3.11.3,2.11.0+cpu
18,guided,16560,15712,15840,16560,16680,17400,2024-07-05T11:30:00+05:30,2026-05-23T23:30:00+05:30,2026-05-29T00:30:00+05:30,2026-06-27T23:30:00+05:30,42,full,5000,1,30,5000,5000,165600,cpu,170.9542591999998,2bcc7494856cff04a0b2712bb0fb6324accb33c08a86134df83d21f54ebfffe8,6fddfc35b1d778ce8d4bfbe85513351c47998dd5d2d3d206027acacc7510c104,2026-06-30T15:00:48.317721+00:00,3.11.3,2.11.0+cpu
