method,regime_method,target,horizon,fold,IC,mean_asset_IC,median_asset_IC,cross_sectional_IC,median_cross_sectional_IC,pooled_IC,signal_IC,n_asset_IC,n_cross_sectional_IC,Sharpe,drawdown,turnover,total_return,n_trades,n_return_observations,rebalance_offset_utc,n_test_rows,accuracy,balanced_accuracy
global_lgbm,none,tb_label_8h,8h,11,-0.042230495568168255,-0.042230495568168255,-0.04501646330671549,-0.017520259497773492,-0.0279916162922339,-0.04147260017916794,-0.010767895716590984,20,720,3.21685317085437,-0.015545379079588978,0.07472222222222222,0.016706844670319576,259,90,0,14400,0.5786111111111111,0.36669007171299867
global_lgbm,none,tb_label_8h,8h,12,-0.037697583918396824,-0.037697583918396824,-0.023109518464207335,0.018702725295541914,0.024288497088525214,-0.028867874828049398,0.05334425892183139,20,720,-0.027611403892348885,-0.025846891109150002,0.06444444444444444,-0.0004713534091881355,227,90,0,14400,0.5825,0.36860570271209275
global_lgbm,none,tb_label_8h,8h,13,-0.04511409080086369,-0.04511409080086369,-0.05810504217682807,0.007938148308205316,0.0008707722557819293,-0.038420616120789224,-0.008781043717558402,20,720,-3.5096781209977874,-0.022370654879983215,0.03944444444444444,-0.014642699918692714,139,90,0,14400,0.5586805555555555,0.34882935289369427
global_lgbm,none,tb_label_8h,8h,14,-0.013493428763765265,-0.013493428763765265,-0.007132839285301361,-0.009470603697681044,-0.020651311376603303,-0.015356427761126269,0.0006482732593834816,20,720,2.4690869474576096,-0.015559685628403506,0.0725,0.018120984009371233,257,90,0,14400,0.554375,0.3564523070622143
global_lgbm,none,tb_label_8h,8h,15,-0.04796162917819892,-0.04796162917819892,-0.06763935998257604,0.03270950586690856,0.04089148172210369,-0.021386741854543305,-0.004899572661022913,20,720,-3.540626961870736,-0.024444335436112134,0.10666666666666667,-0.013434747158415195,359,90,0,14400,0.5798611111111112,0.37445303446608397
global_lgbm,none,tb_label_8h,8h,16,0.02521848236407046,0.02521848236407046,0.016972605280223856,0.04188417515072484,0.03835522611906178,0.021435345447358638,0.038410622519696944,20,720,-3.1839800419458317,-0.022993167433796344,0.05444444444444444,-0.01208095364319095,188,90,0,14400,0.54625,0.3591351745049472
regime_lgbm_hmm,hmm,tb_label_8h,8h,1,-0.06209506599079604,-0.06209506599079604,-0.05625789919094195,-0.0011113969270583428,0.005039432950352813,-0.049321878491587846,0.009504061072330086,20,720,3.9625695157042005,-0.01914975468705382,0.07444444444444444,0.0431826399471269,260,90,0,14400,0.5825694444444445,0.362948379857925
regime_lgbm_hmm,hmm,tb_label_8h,8h,2,0.006233177791362984,0.006233177791362984,0.007647118000817063,0.016444703676299226,0.011423468303977447,0.004347968561931989,0.003224983135852971,20,720,-3.3386461940880743,-0.020960057367833015,0.042777777777777776,-0.01835158264889203,152,90,0,14400,0.5695833333333333,0.34548326455278416
regime_lgbm_hmm,hmm,tb_label_8h,8h,3,0.028050075977503974,0.028050075977503974,0.027384916540105136,-0.049707695155796205,-0.06518133874103152,0.0338402070756306,-0.005270084934862296,20,720,0.18435768016274495,-0.01391513858260754,0.085,0.0009259297162698132,287,90,0,14400,0.559375,0.35906017238607846
regime_lgbm_hmm,hmm,tb_label_8h,8h,4,-0.04782292021586661,-0.04782292021586661,-0.043085494394698096,-0.03852852156452588,-0.059498712547914605,-0.035899586995557675,-0.027889944957151892,20,720,-3.953181283027982,-0.03055360056919625,0.060833333333333336,-0.027284905484340483,214,90,0,14400,0.5505555555555556,0.35100282154789025
