symbol,horizon,label_type,label,count,pct
UNIUSDT,8h,dir,-1,7011,0.4020991052993806
UNIUSDT,8h,dir,0,3941,0.226026611608167
UNIUSDT,8h,dir,1,6484,0.3718742830924524
UNIUSDT,8h,tb,-1,3774,0.21644872677219545
UNIUSDT,8h,tb,0,9983,0.5725510438173893
UNIUSDT,8h,tb,1,3679,0.21100022941041524
UNIUSDT,24h,dir,-1,7171,0.41127552190869465
UNIUSDT,24h,dir,0,3884,0.22275751319109888
UNIUSDT,24h,dir,1,6381,0.36596696490020647
UNIUSDT,24h,tb,-1,4442,0.25476026611608166
UNIUSDT,24h,tb,0,8710,0.4995411791695343
UNIUSDT,24h,tb,1,4284,0.24569855471438404
XRPUSDT,4h,dir,-1,6684,0.383344803854095
XRPUSDT,4h,dir,0,4195,0.24059417297545307
XRPUSDT,4h,dir,1,6557,0.3760610231704519
XRPUSDT,4h,tb,-1,3383,0.19402385868318422
XRPUSDT,4h,tb,0,10921,0.626347786189493
XRPUSDT,4h,tb,1,3132,0.17962835512732278
XRPUSDT,8h,dir,-1,6774,0.3885065381968341
XRPUSDT,8h,dir,0,4209,0.24139710942876808
XRPUSDT,8h,dir,1,6453,0.3700963523743978
XRPUSDT,8h,tb,-1,3832,0.21977517779307182
XRPUSDT,8h,tb,0,9967,0.5716334021564579
XRPUSDT,8h,tb,1,3637,0.2085914200504703
XRPUSDT,24h,dir,-1,6906,0.39607708189951824
XRPUSDT,24h,dir,0,4113,0.23589125946317963
XRPUSDT,24h,dir,1,6417,0.36803165863730214
XRPUSDT,24h,tb,-1,4485,0.2572264280798348
XRPUSDT,24h,tb,0,8605,0.4935191557696719
XRPUSDT,24h,tb,1,4346,0.24925441615049324
