comparison,metric,direction,mean_difference,cohen_dz,effect_size,primary_p_value,bh_q_by_metric,holm_p_by_metric,bh_q_all_tests,holm_p_all_tests,claim_status,p_value_source,n_paired_folds,n_paired_rows
regime_lgbm_hmm_guided_gmm vs regime_lgbm_kmeans,IC,reference_better,-0.0025232312432022174,-0.11350675415332867,tiny,0.6563096463679496,0.8663368493638747,1.0,0.856539707971731,1.0,not_significant,paired_t,16.0,
regime_lgbm_kmeans vs regime_lgbm_hmm,IC,reference_better,-0.0017819315727820011,-0.10944103519516377,tiny,0.6677951777170367,0.8663368493638747,1.0,0.8642055241044003,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive vs regime_lgbm_contrastive_hmm,IC,reference_better,-0.003388684644174921,-0.0878858648219545,tiny,0.7300700879146775,0.8663368493638747,1.0,0.8783655745223464,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs global_lgbm,IC,method_better,0.0014638854868567156,0.0839189147579079,tiny,0.7417645314015998,0.8663368493638747,1.0,0.8855173475647006,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive vs regime_lgbm_kmeans,IC,reference_better,-0.001604500990175952,-0.06268715957595253,tiny,0.8054106926688228,0.8663368493638747,1.0,0.9295731157407998,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_hmm vs global_lgbm,IC,method_better,0.0011151369470230933,0.05945569726719816,tiny,0.8152365038703352,0.8663368493638747,1.0,0.9295731157407998,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive_hmm vs regime_lgbm_kmeans,IC,method_better,0.0017841836539989686,0.05561453396798997,tiny,0.8269579016655167,0.8663368493638747,1.0,0.9295731157407998,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive_hmm vs regime_lgbm_hmm,IC,method_better,2.2520812169670758e-06,9.304149176726849e-05,tiny,0.9997079590186291,0.999707959018629,1.0,0.9997079590186291,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs global_lgbm,Sharpe,reference_better,-0.39075033948411975,-0.5248351105695644,medium,0.053121133132837374,0.5396275411805425,1.0,0.1740564787756799,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_gmm vs global_lgbm,Sharpe,reference_better,-0.4502390380018684,-0.47514969900002524,small,0.07674736285107846,0.5396275411805425,1.0,0.23638187758132165,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_gmm vs regime_lgbm_hmm,Sharpe,reference_better,-0.2793497824276937,-0.4224866535013938,small,0.11170792727654248,0.5396275411805425,1.0,0.31857445927013966,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive vs regime_lgbm_hmm,Sharpe,reference_better,-0.27812595434597653,-0.40900192594400414,small,0.12264262299557784,0.5396275411805425,1.0,0.33726721323783904,1.0,not_significant,paired_t,16.0,
regime_lgbm_kmeans vs global_lgbm,Sharpe,reference_better,-0.28435289641132355,-0.34217839497666763,small,0.19123900026392063,0.7012096676343756,1.0,0.48280009902694715,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs regime_lgbm_hmm,Sharpe,reference_better,-0.21986108390994513,-0.2910172982976018,small,0.26257773049613614,0.7743310171389985,1.0,0.5901875775330764,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm vs global_lgbm,Sharpe,reference_better,-0.17088925557417461,-0.21433325183831603,small,0.40475095721434906,0.7743310171389985,1.0,0.765665305317318,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_hmm vs regime_lgbm_kmeans,Sharpe,method_better,0.18444152029374908,0.2100906227919455,small,0.4139003256728189,0.7743310171389985,1.0,0.765665305317318,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive vs regime_lgbm_contrastive_hmm,Sharpe,reference_better,-0.22744345763443424,-0.20783775385563494,small,0.4188131693890569,0.7743310171389985,1.0,0.765665305317318,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_gmm vs regime_lgbm_kmeans,Sharpe,reference_better,-0.1658861415905448,-0.20630387776605688,small,0.4221796637102258,0.7743310171389985,1.0,0.765665305317318,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive_hmm vs global_lgbm,Sharpe,reference_better,-0.22157175228571693,-0.2058084103417458,small,0.4232708244271878,0.7743310171389985,1.0,0.765665305317318,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_gmm vs regime_lgbm_contrastive_hmm,Sharpe,reference_better,-0.2286672857161514,-0.1753004493240148,tiny,0.4939126819167273,0.7743310171389985,1.0,0.7989023073844788,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs regime_lgbm_contrastive_hmm,Sharpe,reference_better,-0.16917858719840284,-0.1736120470620082,tiny,0.49801702278512966,0.7743310171389985,1.0,0.7989023073844788,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive vs regime_lgbm_kmeans,Sharpe,reference_better,-0.16466231350882765,-0.16153431734564422,tiny,0.5279529662311354,0.7743310171389985,1.0,0.8101109685792716,1.0,not_significant,paired_t,16.0,
regime_lgbm_kmeans vs regime_lgbm_hmm,Sharpe,reference_better,-0.11346364083714891,-0.14286241172632233,tiny,0.5761580855603056,0.7922173676454202,1.0,0.8191038734235297,1.0,not_significant,paired_t,16.0,
