method,symbol,n_rows,n_regimes,avg_regime_duration,transition_diagonal_probability,regime_entropy,dominant_regime_pct,avg_forward_return_8h,avg_vol_adj_return_8h,simple_feature_ic
hmm,SHIBUSDT,17436,4,11.829036635006783,0.8879357843707417,0.9264434137700007,0.40164028446891487,-0.0003164860355703076,-0.028533360594802718,0.055595270581130216
hmm,SOLUSDT,17436,4,11.781081081081082,0.8787673268864166,0.8970138651657293,0.43335627437485663,-4.2672735498725245e-05,-0.007551368763823894,0.020521822634604434
hmm,TONUSDT,16128,4,13.903448275862068,0.8961830831979513,0.930434231468313,0.3849826388888889,-0.0003869301552367612,-0.04407496149440593,0.0437336187720097
hmm,TRXUSDT,17436,4,48.97752808988764,0.9054638327648987,0.43557495534257434,0.8302936453314981,0.0005825538274931248,0.07499141575651203,0.04137214660639149
hmm,UNIUSDT,17436,4,9.901192504258944,0.890152353198818,0.8977844566245463,0.3937256251433815,-0.00020164198095966275,-0.013616465623582522,0.05068522821617198
hmm,XRPUSDT,17436,4,13.882165605095542,0.9050968808608846,0.950758290850364,0.33516861665519615,0.000698589626924586,0.003966995271893735,0.030512834820351338
kmeans,ADAUSDT,17436,3,4.23306627822287,0.7430036336715156,0.7240378032407604,0.5403188804771737,3.2940457284886396e-05,-0.010409952593933224,0.02704357428192127
kmeans,APTUSDT,17436,3,3.7945593035908596,0.7318489127738695,0.7671827422108058,0.4558958476714843,-0.0006925528736013306,-0.02406910169260468,0.024764323895641736
kmeans,AVAXUSDT,17436,3,4.142551674982181,0.7442917320927939,0.7380741398958947,0.5151984400091764,-0.0003071259045935929,-0.008349273926498276,0.01564253186925258
kmeans,BCHUSDT,17436,4,2.6418181818181816,0.5853681262455666,0.8957646961552206,0.49311768754301444,-4.173542673578634e-05,-0.02349606672221309,0.04893417063904477
kmeans,BNBUSDT,17436,3,6.211613822586391,0.7191176763795818,0.491375364388021,0.7749483826565726,0.0001400352679969524,0.013810971908857314,0.048935838207386846
