method,regime_method,target,horizon,symbol,IC,mean_asset_IC,median_asset_IC,cross_sectional_IC,median_cross_sectional_IC,pooled_IC,signal_IC,n_asset_IC,n_cross_sectional_IC,Sharpe,drawdown,turnover,total_return,n_trades,n_return_observations,rebalance_offset_utc,n_test_rows,accuracy,balanced_accuracy
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,BNBUSDT,-0.006620003925384868,-0.006620003925384868,-0.006620003925384868,,,-0.006620003925384876,0.01186247362643175,1,0,-2.702716562441449,-0.3865932703542068,0.09027777777777778,-0.375944716522676,245,1440,0,11520,0.5603298611111112,0.3712875574698573
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,BTCUSDT,-0.018035576920819765,-0.018035576920819765,-0.018035576920819765,,,-0.018035576920819755,-0.005442254878390146,1,0,-1.0029712081731097,-0.28667914742436373,0.10104166666666667,-0.1886148128006767,277,1440,0,11520,0.5716145833333334,0.3752570716613502
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,DOGEUSDT,-0.009739031566405031,-0.009739031566405031,-0.009739031566405031,,,-0.009739031566405033,0.01545342368183593,1,0,0.04451785108623863,-0.13123917635323493,0.05138888888888889,-0.01237535360737052,145,1440,0,11520,0.5699652777777777,0.35238270242947145
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,DOTUSDT,-0.03921595669449353,-0.03921595669449353,-0.03921595669449353,,,-0.03921595669449351,-0.0014714285812535066,1,0,-0.19615970473670222,-0.16499686481456974,0.035416666666666666,-0.06628408808172725,102,1440,0,11520,0.5764756944444445,0.3510744788505417
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,ETCUSDT,-0.03358522325230034,-0.03358522325230034,-0.03358522325230034,,,-0.033585223252300345,0.0011722277621309667,1,0,-1.6822102229066866,-0.2778685972600805,0.06666666666666667,-0.24492890381905752,183,1440,0,11520,0.56640625,0.3527823007419714
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,ETHUSDT,-0.019183821376625356,-0.019183821376625356,-0.019183821376625356,,,-0.019183821376625377,-0.015637902961193623,1,0,-2.5022649752507196,-0.3739861166679224,0.06701388888888889,-0.3639836334220726,185,1440,0,11520,0.5796006944444444,0.35506091168555615
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,ICPUSDT,0.010376034197888677,0.010376034197888677,0.010376034197888677,,,0.010376034197888684,0.002216606455878612,1,0,0.1976643713491913,-0.1578521282707237,0.034027777777777775,0.026286463364479262,97,1440,0,11520,0.5625,0.3452446135653093
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,LINKUSDT,-0.02653136328970687,-0.02653136328970687,-0.02653136328970687,,,-0.02653136328970685,0.004383306371378743,1,0,0.8714053744825665,-0.113987075832065,0.06458333333333334,0.21327699133901112,177,1440,0,11520,0.5752604166666667,0.3577119588988095
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,LTCUSDT,-0.02444041842866174,-0.02444041842866174,-0.02444041842866174,,,-0.024440418428661747,-0.002006129320651173,1,0,-0.07139143195877845,-0.09847234664887498,0.058680555555555555,-0.025547639955614265,160,1440,0,11520,0.5798611111111112,0.3562409763414169
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,NEARUSDT,-0.009988564267365172,-0.009988564267365172,-0.009988564267365172,,,-0.009988564267365165,-0.016382730779013966,1,0,-0.14701619442264754,-0.16230576057814514,0.03611111111111111,-0.041971505768572115,100,1440,0,11520,0.5573784722222223,0.3414732963516704
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,SHIBUSDT,-0.01249994436173739,-0.01249994436173739,-0.01249994436173739,,,-0.01249994436173739,0.013660280244284015,1,0,-0.4510390319773107,-0.17513737854418815,0.05277777777777778,-0.12329450949561371,152,1440,0,11520,0.5735243055555556,0.3506266570346588
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,SOLUSDT,-0.02439299736516286,-0.02439299736516286,-0.02439299736516286,,,-0.024392997365162844,0.018279731854678957,1,0,1.657864345596116,-0.13018444440584023,0.07604166666666666,0.5403221667705933,205,1440,0,11520,0.5689236111111111,0.3607220955352322
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,TONUSDT,0.03212873643645578,0.03212873643645578,0.03212873643645578,,,0.032128736436455765,0.012710824869734861,1,0,0.37175081245650315,-0.26817312373606955,0.06388888888888888,0.0814011711397189,177,1440,0,11520,0.5758680555555555,0.36544707926986125
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,TRXUSDT,-0.006488945747812885,-0.006488945747812885,-0.006488945747812885,,,-0.006488945747812876,0.012190839416252326,1,0,0.15781946791433893,-0.15349125237953792,0.12986111111111112,0.015787148363807457,356,1440,0,11520,0.5158854166666667,0.3709927584737193
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,UNIUSDT,-0.035910313634121636,-0.035910313634121636,-0.035910313634121636,,,-0.03591031363412165,-0.012538254668077203,1,0,-0.6552836810371512,-0.2481978985213153,0.0375,-0.12914836449748635,105,1440,0,11520,0.5731770833333333,0.3479526788149443
regime_lgbm_kmeans,kmeans,tb_label_8h,8h,XRPUSDT,0.004994250858845071,0.004994250858845071,0.004994250858845071,,,0.0049942508588450875,-0.004896603842389676,1,0,-0.8782411989114585,-0.28877692952527656,0.08506944444444445,-0.20733568100526023,233,1440,0,11520,0.5712673611111111,0.3653321168282852
regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,ADAUSDT,-0.017947453939891576,-0.017947453939891576,-0.017947453939891576,,,-0.017947453939891566,0.00010428801567191883,1,0,-0.5450211750398055,-0.23078467025627333,0.06111111111111111,-0.1470154024822382,171,1440,0,11520,0.5703125,0.35384981605232363
regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,APTUSDT,0.001386055977867151,0.001386055977867151,0.001386055977867151,,,0.0013860559778671555,0.02313697708282704,1,0,1.1630973266512616,-0.13792319588718704,0.044444444444444446,0.5028486052225587,124,1440,0,11520,0.5618923611111111,0.3507513713501183
regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,AVAXUSDT,-0.007907762265724613,-0.007907762265724613,-0.007907762265724613,,,-0.007907762265724616,0.018875427468526336,1,0,0.10928613609136167,-0.21365471932906574,0.07152777777777777,-9.007224867907393e-05,201,1440,0,11520,0.5748263888888889,0.3664918263872838
regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,BCHUSDT,-0.022720178455902573,-0.022720178455902573,-0.022720178455902573,,,-0.022720178455902584,0.02586310479980686,1,0,0.4559556833847329,-0.1685662655939086,0.05,0.08518482170644481,141,1440,0,11520,0.58046875,0.3542299784292355
