symbol_scope,target,horizon,method,regime_method,IC,accuracy,balanced_accuracy,Sharpe,drawdown,turnover,total_return,n_trades,n_test_rows
ETHUSDT,tb_label_24h,24h,regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,0.0332332681847928,0.4914351851851852,0.400612761828665,0.331787675022251,-0.9595012646893508,0.1238425925925925,5.703935494367337,2808,12960
ETHUSDT,tb_label_24h,24h,regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0.0345279345791227,0.4895833333333333,0.3969122884113229,0.0728654306788856,-0.9847873525708496,0.1241512345679012,-0.8140081910055115,2817,12960
ETHUSDT,tb_label_24h,24h,regime_lgbm_kmeans,kmeans,0.0099106129278396,0.483179012345679,0.3891662543185359,-0.1467761496401606,-0.9991368585257476,0.1236496913580246,-0.9875133905685516,2842,12960
ETHUSDT,tb_label_24h,24h,regime_lgbm_vol_bucket,vol_bucket,0.0303467875200125,0.4814814814814814,0.3934457611224312,0.2518311296816216,-0.9869705087665526,0.1224537037037037,1.2809720977467007,2795,12960
ETHUSDT,tb_label_4h,4h,global_lgbm,none,0.0103769292891427,0.631712962962963,0.3533022142354986,-0.4122981987809828,-0.4770285627075108,0.0329475308641975,-0.3315713701134568,819,12960
ETHUSDT,tb_label_4h,4h,regime_lgbm_contrastive,contrastive,-0.0100524470697407,0.6185956790123457,0.359001933403773,-0.6359021152536627,-0.663172841118405,0.0603395061728395,-0.6132372172398307,1491,12960
ETHUSDT,tb_label_4h,4h,regime_lgbm_contrastive_hmm,contrastive_hmm,-0.0040327746325782,0.6215277777777778,0.3648921568330764,-0.5398983450922411,-0.7207543383508932,0.0608024691358024,-0.6279472373507722,1471,12960
ETHUSDT,tb_label_4h,4h,regime_lgbm_hmm,hmm,0.0075202752665741,0.622145061728395,0.3609701083502002,-0.1022043928549811,-0.4920948831920453,0.0625,-0.2403983920858244,1529,12960
ETHUSDT,tb_label_4h,4h,regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,0.0173071996745769,0.6201388888888889,0.3654470807456305,-0.3260676807448483,-0.6708454616863486,0.0689043209876543,-0.4679044987093224,1626,12960
ETHUSDT,tb_label_4h,4h,regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0.0121046603368821,0.6192129629629629,0.3683581138424533,-0.1984645096213235,-0.7310337875053862,0.072145061728395,-0.3771640285968256,1741,12960
ETHUSDT,tb_label_4h,4h,regime_lgbm_kmeans,kmeans,0.0069692636385838,0.622608024691358,0.3651841500245907,-0.4339014455647537,-0.6030373067771548,0.0648919753086419,-0.5356316913398055,1582,12960
ETHUSDT,tb_label_4h,4h,regime_lgbm_vol_bucket,vol_bucket,0.0208294309703502,0.6134259259259259,0.3659100315828055,0.3154481360909679,-0.4486229209500774,0.0698302469135802,0.3216911669981834,1709,12960
ETHUSDT,tb_label_8h,8h,global_lgbm,none,0.0095492046058516,0.5710648148148149,0.3627210033853587,-0.5359987637209138,-0.8935082945133511,0.0554012345679012,-0.8374039470743575,1345,12960
ETHUSDT,tb_label_8h,8h,regime_lgbm_contrastive,contrastive,-0.0050343484966251,0.5627314814814814,0.3793521694093294,-0.2008232754005291,-0.9205565559597684,0.0839506172839506,-0.7016054137495937,1986,12960
ETHUSDT,tb_label_8h,8h,regime_lgbm_contrastive_hmm,contrastive_hmm,-0.0055627690415682,0.5614197530864198,0.3769014032558683,-0.4303591082651707,-0.9716576279015452,0.0858024691358024,-0.8797264152295192,2032,12960
ETHUSDT,tb_label_8h,8h,regime_lgbm_hmm,hmm,0.0066377565188326,0.5621913580246913,0.372606799033214,-0.3551165606515053,-0.8742533893400225,0.0888117283950617,-0.817229909115641,2102,12960
ETHUSDT,tb_label_8h,8h,regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,-0.0102846774405406,0.5592592592592592,0.3714950414829892,-0.3052827602028466,-0.9405508321084324,0.0891203703703703,-0.7873990210422923,2103,12960
ETHUSDT,tb_label_8h,8h,regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0.0076346294749613,0.5592592592592592,0.3749634894721465,-0.2017846196068034,-0.8934790700959435,0.0942901234567901,-0.700476018194627,2184,12960
ETHUSDT,tb_label_8h,8h,regime_lgbm_kmeans,kmeans,0.0001109763722984,0.5600308641975309,0.3700684480298911,-0.3761733291908843,-0.9361745629169046,0.0946759259259259,-0.8330794003966685,2247,12960
ETHUSDT,tb_label_8h,8h,regime_lgbm_vol_bucket,vol_bucket,-0.0045079880948711,0.5520833333333334,0.3717922395276145,-0.776165078643198,-0.9775729027123836,0.0954475308641975,-0.9689282443545882,2264,12960
