benchmark,method,threshold,transaction_cost_bps,Sharpe,drawdown,turnover,total_return,n_trades,n_return_observations,rebalance_offset_utc,signal_IC,n_test_rows
phase39r_repaired_neural,regime_lgbm_hmm_guided_gmm,0.025,5.0,-0.25619859227066955,-0.06607941502006298,0.07432291666666667,-0.02501856170422634,4095,1440,0,0.0010955945773459845,230400
phase39r_repaired_neural,regime_lgbm_hmm_guided_hmm,0.025,5.0,0.11782145695060385,-0.0710331094398088,0.07515625,0.007336213220314747,4144,1440,0,0.00018225676113717485,230400
phase39r_repaired_neural,regime_lgbm_kmeans,0.025,5.0,0.3285931213906116,-0.03967513215359183,0.06767361111111111,0.02489185021648499,3758,1440,0,0.003790639526610315,230400
phase39r_repaired_neural,regime_lgbm_vol_bucket,0.025,5.0,-0.1915480403365168,-0.065983072636925,0.08125,-0.020469656644945156,4459,1440,0,0.003559981600306569,230400
phase41b_classical_candidates,global_lgbm,0.025,10.0,-0.1055642965036889,-0.05191443983691886,0.04262152777777778,-0.01018678780256388,2404,1440,0,0.006398383264279498,230400
phase41b_classical_candidates,regime_lgbm_hmm,0.025,10.0,-0.4072979926966467,-0.07956209255541735,0.05663194444444444,-0.03721552857455179,3154,1440,0,0.004166980217117804,230400
phase41b_classical_candidates,regime_lgbm_kmeans,0.025,10.0,-0.2148815988202299,-0.05161455983514246,0.054461805555555555,-0.019113193393062278,3051,1440,0,0.00416255457578596,230400
phase41b_classical_candidates,regime_lgbm_vol_bucket,0.025,10.0,-0.22412653397526816,-0.057525777183368716,0.06277777777777778,-0.021104819971260014,3488,1440,0,0.005312790012927544,230400
phase39r_repaired_neural,global_lgbm,0.025,10.0,-0.12059448204093338,-0.06380675560369796,0.04918402777777778,-0.012436991257545604,2778,1440,0,0.006878063831060766,230400
phase39r_repaired_neural,regime_lgbm_contrastive,0.025,10.0,-1.3953653538542614,-0.12241676878148025,0.06263888888888888,-0.10541316175768778,3470,1440,0,0.004103650933278804,230400
phase39r_repaired_neural,regime_lgbm_contrastive_hmm,0.025,10.0,-1.252471967656759,-0.12607275099180013,0.06717013888888888,-0.09343015583897896,3717,1440,0,-0.0015439876361880483,230400
phase39r_repaired_neural,regime_lgbm_hmm,0.025,10.0,-0.2802003179833841,-0.08507911173812416,0.07046875,-0.029121977706171198,3898,1440,0,0.005324208445539323,230400
phase39r_repaired_neural,regime_lgbm_hmm_guided_gmm,0.025,10.0,-0.8682828482410566,-0.09146508421113875,0.07432291666666667,-0.0758177392254652,4095,1440,0,0.0010955945773459845,230400
phase39r_repaired_neural,regime_lgbm_hmm_guided_hmm,0.025,10.0,-0.5145037709016378,-0.0929722590567282,0.07515625,-0.045722594663258675,4144,1440,0,0.00018225676113717485,230400
phase39r_repaired_neural,regime_lgbm_kmeans,0.025,10.0,-0.26091111748761575,-0.04878516425749434,0.06767361111111111,-0.023842471977211344,3758,1440,0,0.003790639526610315,230400
phase39r_repaired_neural,regime_lgbm_vol_bucket,0.025,10.0,-0.8318963953971066,-0.11430250280170773,0.08125,-0.07612717268511215,4459,1440,0,0.003559981600306569,230400
phase41b_classical_candidates,global_lgbm,0.025,20.0,-0.9117335844809684,-0.08583470287557712,0.04262152777777778,-0.06911085241788661,2404,1440,0,0.006398383264279498,230400
phase41b_classical_candidates,regime_lgbm_hmm,0.025,20.0,-1.3517525815013733,-0.14469143609512555,0.05663194444444444,-0.11262508462647514,3154,1440,0,0.004166980217117804,230400
phase41b_classical_candidates,regime_lgbm_kmeans,0.025,20.0,-1.2109688933565503,-0.10654162349975749,0.054461805555555555,-0.09309848608196658,3051,1440,0,0.00416255457578596,230400
phase41b_classical_candidates,regime_lgbm_vol_bucket,0.025,20.0,-1.3079828448962512,-0.12793689252012672,0.06277777777777778,-0.10571973414854174,3488,1440,0,0.005312790012927544,230400
phase39r_repaired_neural,global_lgbm,0.025,20.0,-0.9798571355114228,-0.09881607974331791,0.04918402777777778,-0.07996524936063487,2778,1440,0,0.006878063831060766,230400
phase39r_repaired_neural,regime_lgbm_contrastive,0.025,20.0,-2.547553700207578,-0.19379920585516755,0.06263888888888888,-0.18258388970514583,3470,1440,0,0.004103650933278804,230400
phase39r_repaired_neural,regime_lgbm_contrastive_hmm,0.025,20.0,-2.511641559587473,-0.19161104446366056,0.06717013888888888,-0.17702637083702588,3717,1440,0,-0.0015439876361880483,230400
phase39r_repaired_neural,regime_lgbm_hmm,0.025,20.0,-1.3633950739548986,-0.15819328087677342,0.07046875,-0.12281715115459158,3898,1440,0,0.005324208445539323,230400
phase39r_repaired_neural,regime_lgbm_hmm_guided_gmm,0.025,20.0,-2.0933880410691184,-0.17911910315362445,0.07432291666666667,-0.16962483919437188,4095,1440,0,0.0010955945773459845,230400
phase39r_repaired_neural,regime_lgbm_hmm_guided_hmm,0.025,20.0,-1.779161485083883,-0.17630110379701988,0.07515625,-0.1436145869024824,4144,1440,0,0.00018225676113717485,230400
phase39r_repaired_neural,regime_lgbm_kmeans,0.025,20.0,-1.4428240425423167,-0.1274106699489557,0.06767361111111111,-0.11447965293543572,3758,1440,0,0.003790639526610315,230400
phase39r_repaired_neural,regime_lgbm_vol_bucket,0.025,20.0,-2.1119775940393506,-0.20425359805364487,0.08125,-0.1781473987696096,4459,1440,0,0.003559981600306569,230400
phase41b_classical_candidates,global_lgbm,0.025,40.0,-2.514744586912833,-0.18525381159582965,0.04262152777777778,-0.17666671177454585,2404,1440,0,0.006398383264279498,230400
phase41b_classical_candidates,regime_lgbm_hmm,0.025,40.0,-3.2203951191552007,-0.2641335667943581,0.05663194444444444,-0.2462161560237791,3154,1440,0,0.004166980217117804,230400
phase41b_classical_candidates,regime_lgbm_kmeans,0.025,40.0,-3.1953726639717748,-0.2266110558258826,0.054461805555555555,-0.22477567647973595,3051,1440,0,0.00416255457578596,230400
phase41b_classical_candidates,regime_lgbm_vol_bucket,0.025,40.0,-3.4571463680927734,-0.2594581639427662,0.06277777777777778,-0.2536731330478472,3488,1440,0,0.005312790012927544,230400
