method,regime_method,target,horizon,fold,IC,mean_asset_IC,median_asset_IC,cross_sectional_IC,median_cross_sectional_IC,pooled_IC,signal_IC,n_asset_IC,n_cross_sectional_IC,Sharpe,drawdown,turnover,total_return,n_trades,n_return_observations,rebalance_offset_utc,n_test_rows,accuracy,balanced_accuracy
global_lgbm,none,tb_label_8h,8h,15,-0.04731338486319092,-0.04731338486319092,-0.07702477594519225,0.03213378726805072,0.02793782839975114,-0.014180211305490706,-0.013057628696910396,20,720,-5.390372156980872,-0.020869658183733646,0.0636111111111111,-0.015392784073374854,224,90,0,14400,0.5798611111111112,0.35863164840515444
global_lgbm,none,tb_label_8h,8h,16,0.021037069126609555,0.021037069126609555,0.009653146363971394,0.03922261507894583,0.03352985440147024,0.014126537113143326,0.040329600282489615,20,720,0.027816437589289283,-0.01338295814493364,0.03722222222222222,3.027064969529647e-05,132,90,0,14400,0.544375,0.3506896650745734
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,1,-0.020709844156308065,-0.020709844156308065,-0.02867997852316923,0.007321442740553078,0.005031031221473566,-0.009639509287951192,0.03477589479467554,20,720,3.1429846510555803,-0.014665330574450674,0.05555555555555555,0.01935853268120513,195,90,0,14400,0.5818055555555556,0.35665012802422597
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,2,0.03662970914865081,0.03662970914865081,0.024041143577395403,0.03493975133181792,0.040543404143799,0.03697949269013411,0.02455010290976743,20,720,-1.9374908853176178,-0.0165170919619844,0.07027777777777777,-0.008536818885279907,246,90,0,14400,0.5629861111111111,0.35200153104852033
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,3,0.028176152425588862,0.028176152425588862,0.04228739867562861,-0.032298780459179825,-0.039001728841639396,0.03656202920668,-0.006502399477936556,20,720,-2.442760064525883,-0.022057683840626587,0.08222222222222222,-0.012977019654255573,283,90,0,14400,0.554375,0.35496896472409195
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,4,-0.06990084046712866,-0.06990084046712866,-0.06532982002077957,-0.0506593189792563,-0.053966656361797954,-0.05453112883729244,-0.06302322790804747,20,720,-4.685732544866116,-0.03825979286070189,0.052222222222222225,-0.035186885732348516,183,90,0,14400,0.5463194444444445,0.3434373404173681
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,5,-0.004950059773190063,-0.004950059773190063,-0.00407046331730498,-0.04429398131153096,-0.045590706753808885,-0.004391303216514507,0.0022110916955641337,20,720,-0.07790372352233506,-0.01868104860535536,0.06833333333333333,-0.000632504821958535,239,90,0,14400,0.5640972222222222,0.3571128007542745
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,6,0.02095382447498187,0.02095382447498187,0.0072614580627810114,0.023879311584707456,0.029975340591188785,0.024834420397275663,0.011615113713384004,20,720,5.063830589713747,-0.004125092350786884,0.026111111111111113,0.01392193853805157,93,90,0,14400,0.5619444444444445,0.3474636314434017
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,7,-0.06251088044306208,-0.06251088044306208,-0.08127164807345064,-0.02578599685459249,-0.024157993815576265,-0.0591396905517344,-0.014545160362671044,20,720,-2.519613733060521,-0.004468332291266863,0.03972222222222222,-0.0037391634686150255,143,90,0,14400,0.5665277777777777,0.3469335613263796
regime_lgbm_contrastive,contrastive,tb_label_8h,8h,8,0.04031918291842414,0.04031918291842414,0.03531896844335708,0.02376329390980223,0.025905331531388888,0.047846399040532304,0.04399916037018477,20,720,1.8311818725488505,-0.008568118741673816,0.06305555555555556,0.0053331899515229875,223,90,0,14400,0.5622916666666666,0.3565641976460751
