fold,encoder_method,stage,epoch,train_loss,validation_loss,loss,train_valid_anchor_pct,train_positive_pair_count,train_hard_negative_pair_count,validation_valid_anchor_pct,validation_positive_pair_count,validation_hard_negative_pair_count,valid_anchor_pct,positive_pair_count,hard_negative_pair_count
4,guided,inner_selection,13,0.43547455295920373,1.1874159403145312,,1.0,4407.7,2.8,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,14,0.38682885095477104,1.1301163237541914,,0.996875,4386.6,3.05,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,15,0.3327922698110342,1.0717119337525218,,1.0,4401.55,2.6,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,16,0.3073977785184979,1.0632736951578408,,0.996875,4406.45,2.65,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,17,0.27295062052144203,1.0693658635020256,,0.99375,4391.2,2.7,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,18,0.2683360926806927,1.0236344067729077,,0.996875,4414.1,2.85,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,19,0.25652053728699686,0.9999185463879258,,1.0,4414.55,2.4,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,20,0.25646417066454885,0.9879899147897959,,0.996875,4383.45,2.7,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,21,0.2417151803150773,0.9939110348932445,,0.996875,4413.6,2.75,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,22,0.23894794546067716,0.9839690112508833,,1.0,4388.75,3.2,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,23,0.20144396355899516,1.010974585986696,,0.99375,4383.15,2.25,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,24,0.1993240498173691,1.0139173513278366,,0.996875,4418.7,3.4,0.9845703125,4320.55,997.15,,,
4,guided,inner_selection,25,0.22532470598816873,1.0009096349938773,,0.996875,4391.95,3.25,0.9845703125,4320.55,997.15,,,
4,guided,outer_refit,1,,,1.0864665746688842,,,,,,,0.996875,4295.95,1.95
4,guided,outer_refit,2,,,0.970658503472805,,,,,,,0.996875,4323.5,3.75
4,guided,outer_refit,3,,,0.9694715306162834,,,,,,,1.0,4299.25,2.4
4,guided,outer_refit,4,,,0.8908709391951561,,,,,,,0.99375,4303.55,3.55
4,guided,outer_refit,5,,,0.861487589776516,,,,,,,0.996875,4308.75,3.45
4,guided,outer_refit,6,,,0.8408188775181771,,,,,,,1.0,4318.75,2.55
4,guided,outer_refit,7,,,0.8187902837991714,,,,,,,1.0,4299.6,2.6
4,guided,outer_refit,8,,,0.8094841077923774,,,,,,,0.99375,4303.4,2.2
4,guided,outer_refit,9,,,0.7554336939007044,,,,,,,0.996875,4303.65,2.4
4,guided,outer_refit,10,,,0.7398312427103519,,,,,,,0.996875,4309.05,2.65
4,guided,outer_refit,11,,,0.7226518154144287,,,,,,,0.99375,4291.85,3.0
4,guided,outer_refit,12,,,0.72050950974226,,,,,,,1.0,4289.05,2.8
4,guided,outer_refit,13,,,0.6849749356508255,,,,,,,0.99375,4302.9,3.2
4,guided,outer_refit,14,,,0.6043171420693397,,,,,,,0.99375,4320.55,3.3
4,guided,outer_refit,15,,,0.5538912184536458,,,,,,,1.0,4309.9,3.1
4,guided,outer_refit,16,,,0.46051298044621947,,,,,,,0.99375,4296.8,3.5
4,guided,outer_refit,17,,,0.4233357563614845,,,,,,,1.0,4297.6,3.6
4,guided,outer_refit,18,,,0.3646656068973243,,,,,,,0.996875,4307.8,3.25
4,guided,outer_refit,19,,,0.3372638628203276,,,,,,,0.996875,4303.05,2.55
4,guided,outer_refit,20,,,0.33615836724638937,,,,,,,1.0,4295.5,2.7
4,guided,outer_refit,21,,,0.2996175453066826,,,,,,,0.996875,4312.6,2.4
4,guided,outer_refit,22,,,0.27329470229451547,,,,,,,0.99375,4319.3,3.0
5,vanilla,inner_selection,1,0.5607468446716666,2.5081103146076202,,,,,,,,,,
5,vanilla,inner_selection,2,0.17672207280993463,2.3338778793811796,,,,,,,,,,
5,vanilla,inner_selection,3,0.12028778921812773,2.2833644449710846,,,,,,,,,,
5,vanilla,inner_selection,4,0.10317351911216974,2.2230926007032394,,,,,,,,,,
5,vanilla,inner_selection,5,0.08912473211821634,2.2354884117841722,,,,,,,,,,
5,vanilla,inner_selection,6,0.08175386516777508,2.2165157407522202,,,,,,,,,,
5,vanilla,inner_selection,7,0.07787481260020286,2.196131777763367,,,,,,,,,,
5,vanilla,inner_selection,8,0.07077942423129571,2.186540901660919,,,,,,,,,,
5,vanilla,inner_selection,9,0.07065558586909901,2.1984719008207323,,,,,,,,,,
5,vanilla,inner_selection,10,0.07230493980459869,2.1743109822273254,,,,,,,,,,
5,vanilla,inner_selection,11,0.06987393423914909,2.179770129919052,,,,,,,,,,
5,vanilla,inner_selection,12,0.06705002037342637,2.136698380112648,,,,,,,,,,
5,vanilla,inner_selection,13,0.06330175835610134,2.160638779401779,,,,,,,,,,
5,vanilla,inner_selection,14,0.06305229067802429,2.1816540718078614,,,,,,,,,,
5,vanilla,inner_selection,15,0.06466391544090584,2.138326182961464,,,,,,,,,,
