symbol,horizon,label_type,source_rows,target_rows,missing_rows,expected_horizon_loss,neutral_pct,down_pct,up_pct
SEIUSDT,4h,dir,17460,17436,24,24,0.2295824730442762,0.4027299839412709,0.36768754301445283
SEIUSDT,4h,tb,17460,17436,24,24,0.6137302133516862,0.19591649460885524,0.19035329203945858
SEIUSDT,8h,dir,17460,17436,24,24,0.22562514338150952,0.4110461114934618,0.36332874512502866
SEIUSDT,8h,tb,17460,17436,24,24,0.564120211057582,0.22453544390915348,0.21134434503326452
SEIUSDT,24h,dir,17460,17436,24,24,0.20474879559532003,0.4340445056205552,0.3612066987841248
SEIUSDT,24h,tb,17460,17436,24,24,0.48245010323468684,0.262388162422574,0.25516173434273914
TIAUSDT,4h,dir,17460,17436,24,24,0.22476485432438634,0.4062858453773801,0.36894930029823353
TIAUSDT,4h,tb,17460,17436,24,24,0.6099449415003441,0.19912824042211516,0.19092681807754072
TIAUSDT,8h,dir,17460,17436,24,24,0.22487955953200275,0.40984170681348936,0.3652787336545079
TIAUSDT,8h,tb,17460,17436,24,24,0.5612525808671713,0.22361780224822206,0.21512961688460655
TIAUSDT,24h,dir,17460,17436,24,24,0.21862812571690754,0.42423721036935075,0.35713466391374166
TIAUSDT,24h,tb,17460,17436,24,24,0.48852947923835743,0.2696145905024088,0.24185593025923377
WLDUSDT,4h,dir,17460,17436,24,24,0.23606331727460428,0.4005505849965588,0.3633860977288369
WLDUSDT,4h,tb,17460,17436,24,24,0.6215301674696031,0.1917297545308557,0.18674007799954118
WLDUSDT,8h,dir,17460,17436,24,24,0.23245010323468684,0.40697407662307866,0.36057582014223444
WLDUSDT,8h,tb,17460,17436,24,24,0.5655540261527874,0.22338839183298922,0.21105758201422345
WLDUSDT,24h,dir,17460,17436,24,24,0.2151869694884148,0.43513420509291123,0.349678825418674
WLDUSDT,24h,tb,17460,17436,24,24,0.4817045193851801,0.2633631566873136,0.2549323239275063
JUPUSDT,4h,dir,17460,17436,24,24,0.2313604037623308,0.3879903647625602,0.380649231475109
JUPUSDT,4h,tb,17460,17436,24,24,0.6122390456526726,0.19494150034411561,0.19281945400321174
JUPUSDT,8h,dir,17460,17436,24,24,0.22459279651296168,0.39579031888047717,0.3796168846065611
JUPUSDT,8h,tb,17460,17436,24,24,0.5600481761871989,0.22092222986923607,0.21902959394356503
JUPUSDT,24h,dir,17460,17436,24,24,0.20939435650378527,0.4071461344345033,0.3834595090617114
JUPUSDT,24h,tb,17460,17436,24,24,0.47092222986923604,0.2620440467997247,0.26703372333103925
PENDLEUSDT,4h,dir,17460,17436,24,24,0.22315898141775636,0.3967653131452168,0.38007570543702685
PENDLEUSDT,4h,tb,17460,17436,24,24,0.6027185134205093,0.19643266804312917,0.20084881853636155
PENDLEUSDT,8h,dir,17460,17436,24,24,0.2202339986235375,0.4004358797889424,0.37933012158752005
PENDLEUSDT,8h,tb,17460,17436,24,24,0.5544849736178022,0.21816930488644184,0.2273457214957559
PENDLEUSDT,24h,dir,17460,17436,24,24,0.2099678825418674,0.4070314292268869,0.3830006882312457
PENDLEUSDT,24h,tb,17460,17436,24,24,0.48164716678137187,0.25108969947235604,0.2672631337462721
STXUSDT,4h,dir,17460,17436,24,24,0.24174122505161735,0.39355356733195684,0.3647052076164258
STXUSDT,4h,tb,17460,17436,24,24,0.6224478091305345,0.19855471438403305,0.17899747648543243
STXUSDT,8h,dir,17460,17436,24,24,0.22573984858912594,0.40949759119064005,0.364762560220234
STXUSDT,8h,tb,17460,17436,24,24,0.5693966506079376,0.2286648313833448,0.2019385180087176
STXUSDT,24h,dir,17460,17436,24,24,0.20807524661619636,0.4278504244092682,0.36407432897453545
STXUSDT,24h,tb,17460,17436,24,24,0.47786189493002984,0.27655425556320257,0.24558384950676762
LDOUSDT,4h,dir,17460,17436,24,24,0.23692360633172746,0.39355356733195684,0.36952282633631567
LDOUSDT,4h,tb,17460,17436,24,24,0.6204978206010553,0.19230328056893783,0.18719889883000687
LDOUSDT,8h,dir,17460,17436,24,24,0.22992658866712548,0.3963638449185593,0.3737095664143152
LDOUSDT,8h,tb,17460,17436,24,24,0.5711745813259922,0.217136958017894,0.2116884606561138
LDOUSDT,24h,dir,17460,17436,24,24,0.22763248451479698,0.4042211516402845,0.36814636384491856
LDOUSDT,24h,tb,17460,17436,24,24,0.497304427621014,0.2540720348703831,0.2486235375086029
GRTUSDT,4h,dir,17460,17436,24,24,0.226026611608167,0.39762560220234,0.376347786189493
GRTUSDT,4h,tb,17460,17436,24,24,0.607765542555632,0.19993117687543013,0.19230328056893783
GRTUSDT,8h,dir,17460,17436,24,24,0.2112869924294563,0.41127552190869465,0.37743748566184904
GRTUSDT,8h,tb,17460,17436,24,24,0.5549437944482679,0.22711631108052305,0.21793989447120898
GRTUSDT,24h,dir,17460,17436,24,24,0.19924294562973158,0.4268180775407204,0.3739389768295481
GRTUSDT,24h,tb,17460,17436,24,24,0.46381050699701765,0.2740307409956412,0.2621587520073411
IMXUSDT,4h,dir,17460,17436,24,24,0.22149575590731818,0.4069167240192705,0.37158752007341134
IMXUSDT,4h,tb,17460,17436,24,24,0.6145331498050012,0.1944253269098417,0.19104152328515714
IMXUSDT,8h,dir,17460,17436,24,24,0.215244322092223,0.41368433126863957,0.37107134663913743
IMXUSDT,8h,tb,17460,17436,24,24,0.5533952741454462,0.22493691213581096,0.22166781371874283
IMXUSDT,24h,dir,17460,17436,24,24,0.21031199816471668,0.4226313374627208,0.3670566643725625
IMXUSDT,24h,tb,17460,17436,24,24,0.46994723560449647,0.2641660931406286,0.265886671254875
