method,target,horizon,regime_method,symbol_scope,IC,accuracy,balanced_accuracy,Sharpe,drawdown,turnover,total_return,n_trades,n_test_rows,fold
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,-0.02604410682261968,0.573125,0.352889634664644,-2.0260594426531697,-0.3294555480979387,0.043194444444444445,-0.3043510028663563,1220,14400,7
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,-0.008070570804018554,0.5592361111111112,0.34783115446387086,-0.5848924932412433,-0.24023390730365762,0.02392361111111111,-0.12144306661059123,679,14400,8
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,-0.010717234847810501,0.5595833333333333,0.3459114880254586,-1.7947957519897357,-0.5521342880846075,0.03729166666666667,-0.5069770556381581,1054,14400,9
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.031962430174740035,0.5734027777777778,0.34489864793021113,1.0848290338958362,-0.16733512052376312,0.03229166666666667,0.1669197760195591,920,14400,10
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.06167291711938076,0.5626388888888889,0.3415915440453885,-2.085975487234903,-0.4390842079820652,0.025694444444444443,-0.35377919976621475,728,14400,11
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,-0.039751271429450036,0.6009027777777778,0.3466542976461699,0.2608576913283845,-0.06708467812330621,0.021145833333333332,0.032832147217378704,598,14400,12
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,-0.03758108222572305,0.5715972222222222,0.35336847895461143,0.4986631881063372,-0.16316071117716013,0.03138888888888889,0.06598928688548789,893,14400,13
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,-0.07193690812001104,0.581875,0.3568404106730752,-1.5915393754400717,-0.3004886761167299,0.031875,-0.28852783344548005,900,14400,14
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,-0.005406737193230928,0.5547222222222222,0.3510612419416183,0.330740866917487,-0.33530494869305383,0.02784722222222222,0.10031602071601764,796,14400,15
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,-0.033833602959296966,0.5625694444444445,0.349841740070255,-0.23299876482482357,-0.14113511820821184,0.036631944444444446,-0.05464890215819451,1041,14400,16
regime_lgbm_contrastive_hmm,tb_label_8h,8h,contrastive_hmm,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.07403760415545162,0.5784027777777778,0.35290238261155094,0.7702892001932679,-0.28539209250391323,0.029375,0.2501575811556229,828,14400,1
regime_lgbm_contrastive_hmm,tb_label_8h,8h,contrastive_hmm,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.11694561323054005,0.563125,0.3589984721623487,0.3442710264304688,-0.2502099709007821,0.03131944444444444,0.08701833142769622,893,14400,2
