method,target,horizon,regime_method,symbol_scope,IC,mean_asset_IC,median_asset_IC,cross_sectional_IC,median_cross_sectional_IC,pooled_IC,signal_IC,n_asset_IC,n_cross_sectional_IC,Sharpe,drawdown,turnover,total_return,n_trades,n_return_observations,rebalance_offset_utc,n_test_rows,accuracy,balanced_accuracy,fold
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.048036197483148475,-0.048036197483148475,-0.02230561433432631,-0.002678225443719078,0.0049694330391425985,-0.0499385866155036,-0.0014036733442341694,10,720,-0.6917360055184543,-0.017702342239118953,0.07444444444444444,-0.003571171989399158,125,90,0,7200,0.5402777777777777,0.3602577716914286,17
regime_lgbm_contrastive,tb_label_8h,8h,contrastive,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.026186997895866326,0.026186997895866326,0.025664345380118993,0.03139907317920102,0.03731666893740991,0.034783548294690506,0.012227018984475077,10,720,-5.864236539511805,-0.008639626297932912,0.015555555555555555,-0.007946583355058712,25,90,0,7200,0.5633333333333334,0.3413991791912982,18
regime_lgbm_contrastive_hmm,tb_label_8h,8h,contrastive_hmm,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.058916466123406244,0.058916466123406244,0.055018489796529915,0.024045474614975592,0.028376891780282992,0.054404588308451955,0.039354404468670376,10,720,-0.14008938138082472,-0.0485637383284193,0.07555555555555556,-0.0026923008371594337,132,90,0,7200,0.5491666666666667,0.3596998239673915,1
regime_lgbm_contrastive_hmm,tb_label_8h,8h,contrastive_hmm,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.09555250763386333,-0.09555250763386333,-0.08920879763293875,-0.012667786029722995,-0.012055406890230609,-0.08653703715070313,-0.04842045211850751,10,720,-1.8274786146142497,-0.046041970089164254,0.07777777777777778,-0.023366700898797,133,90,0,7200,0.5568055555555556,0.3449421043300051,2
regime_lgbm_contrastive_hmm,tb_label_8h,8h,contrastive_hmm,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.01093207629233316,0.01093207629233316,-0.0006929540602777138,-0.012689437306341637,-0.03248620573384687,0.015530517642663657,0.009592008872491387,10,720,-0.28693497218690994,-0.028781156007542552,0.07666666666666666,-0.0032574633859908664,131,90,0,7200,0.5418055555555555,0.34719872200674273,3
regime_lgbm_contrastive_hmm,tb_label_8h,8h,contrastive_hmm,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.007899312292412876,0.007899312292412876,0.0019362041077053702,0.02134730765366536,0.030591268377450062,0.016418643898454183,0.028349000795120028,10,720,0.9888126840350785,-0.01863283620720535,0.06777777777777778,0.006962624770762371,116,90,0,7200,0.5893055555555555,0.3612284466751667,4
regime_lgbm_contrastive_hmm,tb_label_8h,8h,contrastive_hmm,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.09238823480431442,0.09238823480431442,0.09466946431205303,0.054182498738381,0.047870801917959935,0.08751347613603647,0.011766568658536284,10,720,-0.9601308958137447,-0.04430191032143956,0.07388888888888889,-0.01254802631766827,128,90,0,7200,0.5318055555555555,0.35418959716923853,5
regime_lgbm_contrastive_hmm,tb_label_8h,8h,contrastive_hmm,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.04510104378903797,-0.04510104378903797,-0.05125929714965077,-0.028320952355135157,-0.02646570707096696,-0.039900341149208485,-0.03979688651254972,10,720,-3.4423134973456118,-0.045719456409203434,0.11,-0.04094311992618738,190,90,0,7200,0.5383333333333333,0.3598175880716179,6
regime_lgbm_contrastive_hmm,tb_label_8h,8h,contrastive_hmm,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.022112134655936786,0.022112134655936786,0.036685524755828945,0.015455572047361501,0.03250245973254068,0.036624288195305554,0.005533024441187151,10,720,0.5668545876774034,-0.014769775805456511,0.057777777777777775,0.002970177621286707,98,90,0,7200,0.5540277777777778,0.34570873772785893,7
regime_lgbm_contrastive_hmm,tb_label_8h,8h,contrastive_hmm,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,-0.015662029872147452,-0.015662029872147452,-0.00583000060398239,-0.0009129015192638596,0.012779490990093031,-0.009606883313477322,-0.013330578239988395,10,720,6.728665660304179,-0.010248209974974562,0.075,0.04480023275046885,128,90,0,7200,0.5761111111111111,0.3508565191871702,8
