symbol_scope,target,horizon,method,regime_method,IC,accuracy,balanced_accuracy,Sharpe,drawdown,turnover,total_return,n_trades,n_test_rows
ETHUSDT,tb_label_4h,4h,regime_lgbm_contrastive_hmm,contrastive_hmm,-0.004032774631628805,0.6215277777777778,0.36489215683307646,-0.5398983450922411,-0.7207543383508932,0.06080246913580247,-0.6279472373507722,1471,12960
ETHUSDT,tb_label_4h,4h,regime_lgbm_hmm,hmm,0.007520275265476656,0.622145061728395,0.3609701083502002,-0.10220439285498112,-0.4920948831920453,0.0625,-0.24039839208582447,1529,12960
ETHUSDT,tb_label_4h,4h,regime_lgbm_kmeans,kmeans,0.006969263638583876,0.622608024691358,0.3651841500245907,-0.43390144556475374,-0.6030373067771548,0.06489197530864198,-0.5356316913398055,1582,12960
ETHUSDT,tb_label_4h,4h,regime_lgbm_vol_bucket,vol_bucket,0.020829430970350213,0.6134259259259259,0.3659100315828055,0.3154481360909679,-0.44862292095007744,0.06983024691358025,0.32169116699818345,1709,12960
ETHUSDT,tb_label_8h,8h,global_lgbm,none,0.009549204605851638,0.5710648148148149,0.3627210033853587,-0.5359987637209138,-0.8935082945133511,0.055401234567901234,-0.8374039470743575,1345,12960
ETHUSDT,tb_label_8h,8h,regime_lgbm_contrastive,contrastive,-0.005034348496625174,0.5627314814814814,0.3793521694093294,-0.20082327540052913,-0.9205565559597683,0.08395061728395062,-0.7016054137495937,1986,12960
ETHUSDT,tb_label_8h,8h,regime_lgbm_contrastive_hmm,contrastive_hmm,-0.005562769027484978,0.5614197530864198,0.37690140325586835,-0.4303591082651707,-0.9716576279015452,0.08580246913580247,-0.8797264152295192,2032,12960
ETHUSDT,tb_label_8h,8h,regime_lgbm_hmm,hmm,0.006637756517686653,0.5621913580246913,0.37260679903321403,-0.3551165606515053,-0.8742533893400225,0.08881172839506173,-0.817229909115641,2102,12960
ETHUSDT,tb_label_8h,8h,regime_lgbm_kmeans,kmeans,0.00011097637229845457,0.5600308641975309,0.3700684480298911,-0.37617332919088436,-0.9361745629169046,0.09467592592592593,-0.8330794003966685,2247,12960
ETHUSDT,tb_label_8h,8h,regime_lgbm_vol_bucket,vol_bucket,-0.00450798809487117,0.5520833333333334,0.3717922395276145,-0.776165078643198,-0.9775729027123835,0.09544753086419754,-0.9689282443545882,2264,12960
